path,duration,caption,object,confidence
/train_data/BridgeDataV2/raw/bridge_data_v2/datacol2_folding_table/drawer_pnp/00/2023-05-28_16-02-57/raw/traj_group0/traj7,33,close the drawer,drawer,0.6
/train_data/BridgeDataV2/raw/bridge_data_v2/datacol2_folding_table/drawer_pnp/00/2023-05-28_16-02-57/raw/traj_group0/traj20,40,open the drawer,drawer,0.8
/train_data/BridgeDataV2/raw/bridge_data_v2/datacol2_folding_table/drawer_pnp/00/2023-05-28_16-02-57/raw/traj_group0/traj4,36,opened the drawer,drawer,0.8
/train_data/BridgeDataV2/raw/bridge_data_v2/datacol2_folding_table/drawer_pnp/00/2023-05-28_16-02-57/raw/traj_group0/traj1,30,closed the drawer,drawer,0.4
/train_data/BridgeDataV2/raw/bridge_data_v2/datacol2_folding_table/drawer_pnp/00/2023-05-28_16-02-57/raw/traj_group0/traj6,38,open the drawer,drawer,1.0
/train_data/BridgeDataV2/raw/bridge_data_v2/datacol2_folding_table/drawer_pnp/00/2023-05-28_16-02-57/raw/traj_group0/traj25,37,close the drawer,drawer,0.8
/train_data/BridgeDataV2/raw/bridge_data_v2/datacol2_folding_table/drawer_pnp/00/2023-05-28_16-02-57/raw/traj_group0/traj23,34,closed the drawer,drawer,0.6
/train_data/BridgeDataV2/raw/bridge_data_v2/datacol2_folding_table/drawer_pnp/00/2023-05-28_16-02-57/raw/traj_group0/traj24,36,Open the drawer,drawer,0.4
/train_data/BridgeDataV2/raw/bridge_data_v2/datacol2_folding_table/drawer_pnp/00/2023-05-28_16-02-57/raw/traj_group0/traj8,32,Open the drawer,drawer,0.8
/train_data/BridgeDataV2/raw/bridge_data_v2/datacol2_folding_table/drawer_pnp/00/2023-05-28_16-02-57/raw/traj_group0/traj18,32,open the drawer,drawer,0.4
/train_data/BridgeDataV2/raw/bridge_data_v2/datacol2_folding_table/drawer_pnp/00/2023-05-28_16-02-57/raw/traj_group0/traj17,41,close the drawer drawer,,0.8
/train_data/BridgeDataV2/raw/bridge_data_v2/datacol2_folding_table/drawer_pnp/00/2023-05-28_16-02-57/raw/traj_group0/traj26,35,open the drawer,drawer,0.8
/train_data/BridgeDataV2/raw/bridge_data_v2/datacol2_folding_table/drawer_pnp/00/2023-05-28_16-02-57/raw/traj_group0/traj27,36,close the drawer,drawer,0.4
/train_data/BridgeDataV2/raw/bridge_data_v2/datacol2_folding_table/drawer_pnp/00/2023-05-28_16-02-57/raw/traj_group0/traj5,38,close the drawer,drawer,0.4
/train_data/BridgeDataV2/raw/bridge_data_v2/datacol2_folding_table/drawer_pnp/00/2023-05-28_16-02-57/raw/traj_group0/traj21,40,close the drawer,drawer,0.6
